well,initial_area,final_area,days_elapsed,growth_rate_um2_per_day,has_split_at_end,n_timepoints
ba2962_H10,214712.6533722573,3029614.8428585636,27,104255.63664764097,False,11
ba2962_H11,173846.05875420175,1285002.2729180518,27,41153.933857920376,False,11
ba2962_H12,0.0,0.0,27,0.0,False,11
ba2962_H2,244764.81670175825,3246587.2629049667,27,111178.60911863735,False,11
ba2962_H3,242428.0300414173,1155092.5652069019,27,33802.39019131424,False,11
ba2962_H4,253106.6016404172,2153448.5716272807,25,76013.67879947454,False,10
ba2962_H5,259655.03867695402,1230161.025110123,27,35944.66616419145,False,11
ba2962_H6,247318.9788653867,3148779.586468155,27,107461.50398528771,False,11
ba2962_H7,254560.30031865256,853144.4808970061,27,22169.78446586495,False,11
ba2962_H8,244425.1674778715,3142782.5138388793,27,107346.56838374103,False,11
ba2962_H9,234276.44866813495,1517975.3693033853,27,47544.404467972236,False,11
ba3961_A1,235516.65118408203,1514631.2961921692,27,47374.616481781006,False,11
ba3961_A10,547747.0238609314,2893719.9462890625,27,86887.88601585671,False,11
ba3961_A11,533680.3296775818,2552602.6123428345,27,74774.89935797232,False,11
ba3961_A12,463045.42959976196,2563755.4913024902,27,77804.0763593603,False,11
ba3961_A2,231045.45196151733,1075097.3411560059,27,31261.18108127735,False,11
ba3961_A3,250286.68007659912,1698804.5136070251,27,53648.80864927504,False,11
ba3961_A4,243454.28575897217,972611.4263916016,27,27005.82002343072,False,11
ba3961_A5,239234.27750396729,829231.6221084595,27,21851.75350387008,False,11
ba3961_A6,182565.59522247314,1764817.4998817444,27,58601.92239478783,False,11
ba3961_A7,555885.6112098694,3331897.470100403,27,102815.25403298272,False,11
ba3961_A8,561964.4326248169,2067904.5213394165,27,55775.55884128147,False,11
